node_id,degree,name,kind,longitude,latitude,terrain_elevation_m,terrain_source,radome_height_agl_m,target_altitude_m,coverage_radius_km,nearby_city_count,radius_status
airport:-46.56461878:-21.83849708,7,Aeroporto Embaixador Walther Moreira Salles,airport,-46.56461878307286,-21.838497081484235,1254.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,372.618,907,geometric_upper_bound_topographic_occlusion_pending
capital:3106200,4,Belo Horizonte,capital,-43.9514005979999,-19.8910530989999,855.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,347.36,773,geometric_upper_bound_topographic_occlusion_pending
airport:-47.77658183:-21.13915194,2,Aeroporto Leite Lopes,airport,-47.77658183173642,-21.13915193505769,554.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,324.103,753,geometric_upper_bound_topographic_occlusion_pending
airport:-43.95541274:-19.85154096,3,Aeroporto Pampulha Carlos Drummond de Andrade,airport,-43.955412743176986,-19.851540962803416,788.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,342.585,749,geometric_upper_bound_topographic_occlusion_pending
airport:-50.27936150:-27.78183582,2,Aeroporto Federal Antônio Correia Pinto de Macedo,airport,-50.27936149586206,-27.78183582354362,930.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,352.493,742,geometric_upper_bound_topographic_occlusion_pending
airport:-43.96448131:-19.63081660,3,Aeroporto Internacional Tancredo Neves,airport,-43.96448131353005,-19.630816597746694,830.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,345.601,733,geometric_upper_bound_topographic_occlusion_pending
airport:-47.14423312:-23.00694470,6,Aeroporto Internacional de Viracopos,airport,-47.144233118657596,-23.00694470462168,662.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,333.03,682,geometric_upper_bound_topographic_occlusion_pending
airport:-47.10763729:-22.86125055,6,Aeroporto Estadual de Campinas - Amarais,airport,-47.10763728730773,-22.861250549915823,612.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,328.993,679,geometric_upper_bound_topographic_occlusion_pending
airport:-51.18689425:-29.19487929,2,Aeroporto Regional Hugo Cantergiani,airport,-51.18689424881523,-29.194879289812224,748.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,339.638,678,geometric_upper_bound_topographic_occlusion_pending
airport:-46.94203887:-23.18029217,6,Aeroporto Estadual de Jundiaí,airport,-46.94203887434518,-23.180292170076402,725.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,337.909,662,geometric_upper_bound_topographic_occlusion_pending
airport:-51.49054053:-23.35615536,2,Aeroporto Arapongas,airport,-51.49054052596232,-23.35615535752047,795.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,343.093,660,geometric_upper_bound_topographic_occlusion_pending
airport:-43.28002149:-21.78088244,5,Aeroporto Doutor Saulo Vilela,airport,-43.280021489198745,-21.780882439734036,664.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,333.188,651,geometric_upper_bound_topographic_occlusion_pending
airport:-42.18289619:-20.26392624,6,Aeroporto Elias Breder,airport,-42.182896190329096,-20.263926237380137,812.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,344.317,649,geometric_upper_bound_topographic_occlusion_pending
airport:-53.06680597:-26.05916133,3,Aeroporto Paulo Abdala- Francisco Beltrão,airport,-53.0668059730785,-26.0591613304212,645.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,331.674,642,geometric_upper_bound_topographic_occlusion_pending
airport:-48.59714745:-20.58249530,1,Aeroporto Chafei Amsei,airport,-48.59714745235475,-20.58249530266522,578.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,326.156,639,geometric_upper_bound_topographic_occlusion_pending
airport:-51.13785446:-23.32858557,2,Aeroporto Governador José Richa,airport,-51.13785445571516,-23.32858557155968,571.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,325.561,625,geometric_upper_bound_topographic_occlusion_pending
capital:3550308,6,São Paulo,capital,-46.648144513999895,-23.5646324149999,835.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,345.955,614,geometric_upper_bound_topographic_occlusion_pending
capital:4106902,2,Curitiba,capital,-49.2647573579999,-25.4595973749999,919.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,351.753,604,geometric_upper_bound_topographic_occlusion_pending
airport:-46.65946677:-23.62616514,6,Aeroporto de Congonhas,airport,-46.65946676941492,-23.626165137091487,787.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,342.512,596,geometric_upper_bound_topographic_occlusion_pending
airport:-46.48162768:-23.42600608,6,Aeroporto Internacional  Governador André Franco Montoro,airport,-46.4816276762653,-23.426006084935736,748.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,339.638,594,geometric_upper_bound_topographic_occlusion_pending
airport:-49.17317396:-25.53622755,2,Aeroporto Internacional Afonso Pena,airport,-49.17317396034981,-25.53622754579818,913.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,351.348,584,geometric_upper_bound_topographic_occlusion_pending
airport:-53.50350243:-25.00198143,3,Aeroporto Adalberto Mendes da Silva ,airport,-53.50350243126815,-25.001981426314174,734.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,338.589,573,geometric_upper_bound_topographic_occlusion_pending
airport:-52.01211592:-23.47971250,2,Aeroporto Regional de Maringá - Silvio Name Júnior,airport,-52.01211592226381,-23.47971250112527,547.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,323.497,550,geometric_upper_bound_topographic_occlusion_pending
airport:-50.42585922:-21.13775257,0,Aeroporto Estadual Dario Guarita,airport,-50.42585921914252,-21.137752570693785,410.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,310.755,546,geometric_upper_bound_topographic_occlusion_pending
airport:-53.69626541:-24.68503489,3,Aeroporto Luís Dal Canalle Filho,airport,-53.6962654117052,-24.68503489374331,556.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,324.276,459,geometric_upper_bound_topographic_occlusion_pending
airport:-38.61847754:-6.88084982,1,Aeroporto de Cajazeiras,airport,-38.61847754343169,-6.880849816443079,335.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,302.894,456,geometric_upper_bound_topographic_occlusion_pending
airport:-41.98677122:-18.89705729,1,Aeroporto Coronel Altino Machado,airport,-41.9867712196507,-18.89705729121592,170.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,281.844,448,geometric_upper_bound_topographic_occlusion_pending
