candidate_id,longitude,latitude,elevation_m,nearest_named_peak,nearest_city,nearest_city_km,cities_within_radius,occupied_azimuth_sectors,logistics_radius_km,screening_score
BC250-46,-41.795833333333334,-20.434722222222224,2891.3,Pico da Bandeira,Alto Caparaó,7.737030899273149,415,8,250.0,0.9636375387481111
BC250-87,-44.843055583319426,-22.428333343285946,2798.0,Pedra da Mina,Passa Quatro,13.272905839196527,465,8,250.0,0.9457386886165425
BC250-105,-44.661666531469216,-22.380277893981123,2791.0,Agulhas Negras,Itatiaia,15.755868589561562,453,8,250.0,0.9430267423948537
BC250-63,-45.12138888888889,-22.503055555555555,2420.7,Pico dos Marins,Marmelópolis,7.499486354982979,459,8,250.0,0.8546848454487833
BC250-66,-44.583333333333336,-22.708055555555553,2095.0,Pedra Alta,São José do Barreiro,7.090193229519761,413,8,250.0,0.7723578019750172
BC250-68,-46.05027777777777,-22.89638888888889,2082.0,Pedra do Selado,Camanducaia,18.43618970671914,422,8,250.0,0.7700890353957613
BC250-67,-44.65972222222222,-22.77027777777778,2088.0,Morro Tira Chapéu,São José do Barreiro,16.25807503608656,411,7,250.0,0.7517364127567057
BC250-37,-41.907500408963934,-13.296944648803297,2033.3,Pico do Barbado,Piatã,21.85816696428976,158,8,250.0,0.7196908966302457
BC250-69,-48.8,-25.25,1922.0,Pico Paraná,Antonina,21.68509465863268,243,8,250.0,0.7099256918163327
BC250-73,-49.474444444444444,-28.124444444444446,1827.0,Morro da Boa Vista,Urubici,17.197442381736277,336,8,250.0,0.6999040381275757
BC250-77,-49.75,-28.05,1755.0,Morro Alegre,Urupema,16.30116302792811,395,8,250.0,0.6890089289735778
BC250-78,-49.5825,-28.109166666666667,1755.0,Morro Convento dos Padres,Urubici,11.30825607516303,360,8,250.0,0.685347878179529
BC250-7,-66.00750628640174,0.8000060355497545,2995.3,Pico da Neblina,São Gabriel da Cachoeira,158.52467339043662,2,2,250.0,0.680964861227823
BC250-38,-41.96416666666667,-13.527222222222223,1836.0,Pico das Almas,Rio de Contas,17.57755710894268,160,8,250.0,0.6728391273988368
BC250-42,-41.89722222222222,-13.039166666666667,1816.0,Morro dos Três Morros,Piatã,18.642924107958375,154,8,250.0,0.666537114323832
BC250-43,-42.00222222222222,-13.205833333333333,1792.0,,Piatã,25.78273487356462,154,8,250.0,0.660777805440898
BC250-44,-41.80972222222222,-13.464166666666666,1771.0,Morro do Barro Vermelho,Rio de Contas,12.835283139253386,166,8,250.0,0.6586886029116399
BC250-75,-48.99361110786716,-25.90138888794674,1665.0,,Tijucas do Sul,18.932553853146654,236,8,250.0,0.6471014771207115
BC250-109,-60.73680903801756,5.2023641107086815,2734.0,Monte Roraima,Pacaraima,92.76549696403809,5,2,250.0,0.6456836599483665
BC250-45,-42.04083333333333,-13.3575,1710.0,,Érico Cardoso,12.7037273140418,153,8,250.0,0.6408440919368926
BC250-72,-48.93138888888889,-25.464166666666667,1551.0,Pico do Marumbi,Morretes,10.030719916433203,245,8,250.0,0.6212193438353465
BC250-95,-47.48694446858808,-13.991666473869605,1691.0,Serra Pouso Alto,Alto Paraíso de Goiás,16.821107708631565,83,8,250.0,0.6123038326856292
BC250-79,-49.800555555555555,-28.618333333333332,1403.0,Pico do Monte Negro,Morro Grande,21.815399643144524,389,8,250.0,0.6039350319194747
BC250-92,-47.581388888888895,-13.974166666666667,1646.0,,Alto Paraíso de Goiás,19.67291315003126,85,8,250.0,0.6024360755212594
BC250-93,-47.69194444444444,-14.135,1575.8,Morro do Salto,Alto Paraíso de Goiás,18.792588230555285,94,8,250.0,0.5895278283879823
BC250-82,-49.98638888888889,-28.697777777777777,1303.0,,São José dos Ausentes,9.500160039854416,401,8,250.0,0.5811368948948401
BC250-83,-50.027499999999996,-28.576944444444443,1290.0,,São José dos Ausentes,19.412681927603543,417,8,250.0,0.5795614036403424
BC250-104,-47.457499997940964,-14.141666645460408,1518.0,,Alto Paraíso de Goiás,6.497683412160351,86,8,250.0,0.572177147170444
BC250-32,-36.39194444444444,-8.160277777777779,1195.0,,Brejo da Madre de Deus,2.914642163792618,538,8,250.0,0.5668225117317284
BC250-29,-37.38388888888889,-7.2525,1197.0,Pico do Jabre,Maturéia,4.861567501338331,526,8,250.0,0.5664116828148116
BC250-34,-36.72277777777778,-8.151388888888889,1170.0,,Poção,4.38577836861145,554,8,250.0,0.5619805623325201
BC250-116,-48.11388888888889,-15.586944444444445,1336.0,Pico do Roncador,Águas Lindas de Goiás,23.216294229092167,156,8,250.0,0.5518581669675627
BC250-118,-38.05555555555555,-7.822777777777778,1185.0,Pico-73,Triunfo,5.455213116504057,391,8,250.0,0.5518236804507182
BC250-31,-37.35027777777778,-7.966111111111111,1070.0,,Sertânia,14.89256579132804,539,8,250.0,0.5368994448178467
BC250-19,-47.77305555555555,-13.32861111111111,1340.0,,Minaçu,52.5205115852208,84,8,250.0,0.5285421519108365
BC250-10,-60.61277777777778,5.010555555555555,2078.0,,Uiramutã,67.99293087394945,8,3,250.0,0.5230541375258376
BC250-20,-47.98222222222223,-12.994166666666667,1152.0,,São Salvador do Tocantins,38.67513997727756,83,8,250.0,0.4829593540230688
BC250-21,-47.9825,-12.861388888888888,1139.0,,Paranã,29.882695745082138,82,8,250.0,0.4793659092817709
BC250-28,-36.68861111111111,-6.864444444444444,807.0,,Equador,9.522007734394597,552,8,250.0,0.47472818708594655
BC250-94,-48.49527759176591,-12.917777793730226,1100.0,,Palmeirópolis,16.226861892622047,89,8,250.0,0.4732104455102032
BC250-125,-37.766944220914716,-9.130556461492242,844.0,,Mata Grande,4.117835970562582,388,8,250.0,0.4696895542368361
BC250-119,-37.338888960162215,-9.24333343135406,839.0,,Maravilha,2.0096767840168557,392,8,250.0,0.46889444263615687
BC250-40,-65.57804446844914,0.7438907394734149,2105.0,Pico Guimarães Rosa,Santa Isabel do Rio Negro,143.19293168424392,2,2,250.0,0.4673184987913153
BC250-114,-38.48305555555556,-6.38,852.0,Pico-75,Poço Dantas,3.049981590253971,345,8,250.0,0.4669748421559131
BC250-36,-37.72805555555556,-8.953055555555554,808.0,,Manari,11.40116066068191,410,8,250.0,0.46322712788364206
BC250-112,-38.42833333333333,-6.307222222222222,818.0,Pico-74,Coronel João Pessoa,5.462642920844986,350,8,250.0,0.4593834553896753
BC250-115,-40.82888888888889,-6.248888888888889,843.0,Pico-70,Parambu,15.417096534132995,225,8,250.0,0.4479648906528
BC250-123,-37.86805555555556,-9.981944444444444,742.0,,Pedro Alexandre,4.5111874305882,296,8,250.0,0.43453641273391685
BC250-2,-63.57666666666667,-10.831666666666667,1126.0,Pico do Tracuá,Campo Novo de Rondônia,29.51485951817611,42,7,250.0,0.4314777755408671
BC250-120,-37.361666666666665,-10.738333333333333,659.0,,Areia Branca,5.998047504704726,269,8,250.0,0.4108480060141131
BC250-85,-53.26722222222222,-18.00611111111111,898.0,,Alto Taquari,19.62611880032656,49,8,250.0,0.40148141073696886
BC250-126,-37.94972222222222,-10.818888888888889,607.0,,Simão Dias,17.6753182935562,278,8,250.0,0.39966678102123543
BC250-5,-63.665,-10.896944444444443,950.0,,Campo Novo de Rondônia,36.68025191230024,42,7,250.0,0.38924284373268414
BC250-24,-46.098888888888894,-10.213333333333333,801.0,,Mateiros,50.79504443131311,52,8,250.0,0.3805095213841048
BC250-23,-46.00416666666667,-10.2625,804.0,,Mateiros,55.0680601587122,49,8,250.0,0.37892411761214384
BC250-26,-46.02055555555555,-10.084444444444445,788.0,,Barreiras do Piauí,62.507706614552546,48,8,250.0,0.3742852901283869
BC250-97,-46.22500021626372,-9.954444450595124,726.0,,São Félix do Tocantins,53.47249145101577,53,8,250.0,0.36325120586519727
BC250-98,-50.33222312178807,-6.401943440561195,897.0,,Água Azul do Norte,47.979365870210614,43,6,250.0,0.35868391395303945
BC250-12,-50.68416666666666,-7.434722222222223,829.0,,Bannach,31.504769725192876,34,7,250.0,0.3520621164925557
BC250-88,-60.099720906139396,-15.04166549006509,1078.0,,Vila Bela da Santíssima Trindade,16.793699954941545,26,4,250.0,0.3452977952980753
